Param name,Base value,Lower bound,Upper bound,Unit,Unit type,Const,Base variation estimation,Description,index in vector,Unnamed: 10,Peeling Step
gbar_Im_soma,0.0012383893612445,0.00012383893612445,0.012383893612445,,Uniform,Open,2,,1,0,passive
gbar_Ih_soma,0.0006338765849686,6.338765849686001e-05,0.006338765849686,,Uniform,Open,3,,2,0,passive
gbar_NaTs_soma,0.500453361737873,0.0500453361737873,5.00453361737873,,Uniform,Open,2,,3,0,passive
gbar_Nap_soma,1.758571027409006e-05,1.758571027409006e-06,0.0001758571027409006,,Uniform,Open,3,,4,0,passive
gbar_K_P_soma,0.0006796868759747,6.796868759747e-05,0.006796868759747,,Uniform,Open,3,,5,0,passive
gbar_K_T_soma,1.559856737237686e-05,1.5598567372376859e-06,0.0001559856737237686,,Uniform,Open,3,,6,0,passive
gbar_SK_soma,0.0005304617338248,5.3046173382480004e-05,0.005304617338248,,Uniform,Open,3,,7,0,passive
gbar_Kv3_1_soma,0.14322461216868,0.014322461216867999,1.4322461216867999,,Uniform,Open,3,,8,0,passive
gbar_Ca_HVA_soma,0.0001483591621125,1.483591621125e-05,0.001483591621125,,Uniform,Open,3,,9,0,passive
gbar_Ca_LVA_soma,0.0096001873885489,0.0009600187388548899,0.09600187388548899,,Uniform,Open,3,,10,0,passive
gamma_CaDynamics_soma,0.0047872887880014,0.00047872887880014,0.047872887880014,,Uniform,Open,2,,1,0,passive
decay_CaDynamics_soma,365.1020624075615,36.51020624075615,1000,,Uniform,Open,3,,2,0,passive
g_pas__soma,1.4062989960779356e-05,1.4062989960779357e-06,0.00014062989960779356,,Uniform,Open,2,,3,0,passive
g_pas__axon,0.0001312304022836,1.3123040228359999e-05,0.0013123040228359998,,Uniform,Open,3,,4,0,passive
g_pas__dend,1.0064836074181785e-07,1.0064836074181784e-08,1.0064836074181784e-06,,Uniform,Open,3,,5,0,passive
g_pas__apic,7.215275674504716e-05,7.215275674504715e-06,0.0007215275674504716,,Uniform,Open,3,,6,0,passive
