Param name,Base value,Lower bound,Upper bound,Unit,Unit type,Const,Base variation estimation,Description,index in vector,Unnamed: 10,Peeling Step
g_pas_all,1.3726813952161873e-05,1.3726813952161873e-07,0.0013726813952161874,,Uniform,Open,2,,1,0,passive
e_pas_all,79.6387197928345,63.7109758342676,103.53033573068484,,Uniform,Open,3,,2,0,passive
gNaTa_tbar_NaTa_t_axonal,0.37039611813020834,0.0037039611813020836,37.039611813020834,,Uniform,Open,2,,3,0,passive
gK_Tstbar_K_Tst_axonal,0.13034980684780031,0.0013034980684780032,13.034980684780031,,Uniform,Open,3,,4,0,passive
gNap_Et2bar_Nap_Et2_axonal,0.0007138550847976923,7.138550847976923e-06,0.07138550847976922,,Uniform,Open,3,,5,0,passive
gK_Pstbar_K_Pst_axonal,0.010770033670986461,0.00010770033670986461,1.077003367098646,,Uniform,Open,3,,6,0,passive
gSKv3_1bar_SKv3_1_axonal,0.3583838924560214,0.003583838924560214,35.838389245602144,,Uniform,Open,3,,7,0,passive
gCa_LVAstbar_Ca_LVAst_axonal,0.03169462310429443,0.00031694623104294435,3.1694623104294433,,Uniform,Open,3,,8,0,passive
gCa_HVAbar_Ca_HVA_axonal,0.00015325745262497812,1.5325745262497812e-06,0.015325745262497812,,Uniform,Open,3,,9,0,passive
gSKv3_1bar_SKv3_1_somatic,0.07042836957053336,0.0007042836957053336,7.0428369570533365,,Uniform,Open,3,,10,0,passive
gCa_HVAbar_Ca_HVA_somatic,0.017492304776679422,0.00017492304776679421,1.7492304776679422,,Uniform,Open,3,,11,0,passive
gNaTs2_tbar_NaTs2_t_somatic,0.22950226175914476,0.0022950226175914475,22.950226175914477,,Uniform,Open,3,,12,0,passive
gCa_LVAstbar_Ca_LVAst_somatic,6.737405247963027e-05,6.737405247963027e-07,0.006737405247963027,,Uniform,Open,3,,13,0,passive
gIh_dend,0.00010989744803323805,1.0989744803323805e-06,0.010989744803323806,,Uniform,Open,3,,14,0,passive
cm_all,2.32,0.5,3.0,,Uniform,Open,3,,15,0,passive
cm_apical_basal,0.5,0.5,3.0,,Uniform,Open,3,,16,0,passive
